SITE,rate,SE,df,asymp.LCL,asymp.UCL,wave
Bing,2.061153622438541e-10,8.70778986190633e-6,Inf,2.220446049250313e-16,Inf,2
Instagram,12.999999999999995,3.6055469773093662,Inf,7.5485372447235175,22.388443551514843,2
Jack'd,125.00000000000016,11.180434515925123,Inf,104.90002413101804,148.95134800431245,2
