contrast,ratio,asymp.LCL,asymp.UCL,p.value,p_adj,wave
Bing / Instagram,0,0,0.328114089336069,2.4414062500000005e-4,2.4414062500000005e-4,2
Bing / Jack'd,0,0,0.029950801568138518,4.701977403289163e-38,1.4105932209867488e-37,2
Instagram / Jack'd,0.10400000000000001,0.05387152903533629,0.18441617554636688,3.772426917098376e-24,5.658640375647564e-24,2
