SITE,rate,SE,df,asymp.LCL,asymp.UCL,wave
Facebook,12.999999999999995,3.60555127469096,Inf,7.548532354020185,22.388458057014763,1a
Google,16.999999999999993,4.123105625313911,Inf,10.568229188926686,27.346113983108154,1a
Grindr,8.999999999999998,2.9999999972252773,Inf,4.682832911475984,17.297221902045084,1a
