contrast,ratio,asymp.LCL,asymp.UCL,p.value,p_adj,wave
Facebook / Google,0.7647058823529412,0.34157516603531485,1.6718432695994259,0.5846647117286928,0.5846647117286928,1a
Facebook / Grindr,1.4444444444444446,0.571207834466102,3.8287455687930607,0.5234670639038087,0.5846647117286928,1a
Google / Grindr,1.888888888888889,0.7963902133693204,4.809085407062094,0.1686375439167025,0.5059126317501075,1a
